city,condition,local_time,source_url,scraped_at,temperature_f,temperature_c,country
Managua,Passing clouds. Warm.,Thu 9:47 pm,https://www.timeanddate.com/weather/nicaragua/managua,2026-09-04 03:47:52.737343+00:00,86,30.0,nicaragua
Tehran,Passing clouds. Mild.,Fri 7:17 am,https://www.timeanddate.com/weather/iran/tehran,2026-09-04 03:47:52.737343+00:00,73,22.8,iran
Chicago,Clear. Warm.,Thu 10:47 pm,https://www.timeanddate.com/weather/usa/chicago,2026-09-04 03:47:52.737343+00:00,85,29.4,usa
Manila,Light rain. Overcast. Warm.,Fri 11:47 am,https://www.timeanddate.com/weather/philippines/manila,2026-09-04 03:47:52.737343+00:00,79,26.1,philippines
Tokyo,Broken clouds. Warm.,Fri 12:47 pm,https://www.timeanddate.com/weather/japan/tokyo,2026-09-04 03:47:52.737343+00:00,79,26.1,japan
Copenhagen,Passing clouds. Cool.,Fri 5:47 am,https://www.timeanddate.com/weather/denmark/copenhagen,2026-09-04 03:47:52.737343+00:00,61,16.1,denmark
Melbourne,Passing clouds. Refreshingly cool.,Fri 1:47 pm,https://www.timeanddate.com/weather/australia/melbourne,2026-09-04 03:47:52.737343+00:00,59,15.0,australia
Toronto,Passing clouds. Mild.,Thu 11:47 pm,https://www.timeanddate.com/weather/canada/toronto,2026-09-04 03:47:52.737343+00:00,70,21.1,canada
Dallas,Passing clouds. Warm.,Thu 10:47 pm,https://www.timeanddate.com/weather/usa/dallas,2026-09-04 03:47:52.737343+00:00,83,28.3,usa
Mexico City,Thunderstorms. Overcast. Mild.,Thu 9:47 pm,https://www.timeanddate.com/weather/mexico/mexico-city,2026-09-04 03:47:52.737343+00:00,63,17.2,mexico
Vancouver,Passing clouds. Cool.,Thu 8:47 pm,https://www.timeanddate.com/weather/canada/vancouver,2026-09-04 03:47:52.737343+00:00,57,13.9,canada
Dar es Salaam,Passing clouds. Mild.,Fri 6:47 am,https://www.timeanddate.com/weather/tanzania/dar-es-salaam,2026-09-04 03:47:52.737343+00:00,68,20.0,tanzania
Miami,Passing clouds. Warm.,Thu 11:47 pm,https://www.timeanddate.com/weather/usa/miami,2026-09-04 03:47:52.737343+00:00,83,28.3,usa
Vienna,Clear. Mild.,Fri 5:47 am,https://www.timeanddate.com/weather/austria/vienna,2026-09-04 03:47:52.737343+00:00,68,20.0,austria
Darwin,Broken clouds. Warm.,Fri 1:17 pm,https://www.timeanddate.com/weather/australia/darwin,2026-09-04 03:47:52.737343+00:00,88,31.1,australia
Minneapolis,Scattered clouds. Warm.,Thu 10:47 pm,https://www.timeanddate.com/weather/usa/minneapolis,2026-09-04 03:47:52.737343+00:00,86,30.0,usa
Warsaw,Passing clouds. Cool.,Fri 5:47 am,https://www.timeanddate.com/weather/poland/warsaw,2026-09-04 03:47:52.737343+00:00,61,16.1,poland
Denver,Passing clouds. Pleasantly warm.,Thu 9:47 pm,https://www.timeanddate.com/weather/usa/denver,2026-09-04 03:47:52.737343+00:00,79,26.1,usa
Minsk,Passing clouds. Cool.,Fri 6:47 am,https://www.timeanddate.com/weather/belarus/minsk,2026-09-04 03:47:52.737343+00:00,48,8.9,belarus
Washington DC,Mostly cloudy. Warm.,Thu 11:47 pm,https://www.timeanddate.com/weather/usa/washington-dc,2026-09-04 03:47:52.737343+00:00,83,28.3,usa
Detroit,Fog. Mild.,Thu 11:47 pm,https://www.timeanddate.com/weather/usa/detroit,2026-09-04 03:47:52.737343+00:00,70,21.1,usa
Montevideo,Passing clouds. Cool.,Fri 12:47 am,https://www.timeanddate.com/weather/uruguay/montevideo,2026-09-04 03:47:52.737343+00:00,54,12.2,uruguay
